nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah
"Jamur merang, segar",91.5,30,3.5,0.2,4.0,2.4,0.8,14,117,1.0,6,300.0,0.30,0.8,,0,0,0.02,0.20,0.5,0,100,sayuran,tunggal,,,
"Jamur tiram, segar",92.5,30,1.9,0.1,5.5,3.6,0.6,9,83,0.7,22,226.0,0.00,0.8,,0,0,0.30,0.20,1.0,0,100,sayuran,tunggal,,,
Jamur sagu,91.3,48,1.9,3.2,2.8,1.0,0.8,10,90,0.6,100,440.0,0.60,0.6,,0,,0.20,0.20,6.5,,95,sayuran,tunggal,,,
"Jantung pisang, segar",90.2,32,1.2,0.3,7.1,3.2,1.2,30,50,0.1,3,524.0,0.09,0.3,0,201,170,0.05,0.03,0.8,10,25,sayuran,tunggal,,,
"Jengkol, segar",52.7,192,5.4,0.3,40.7,1.5,0.9,4,150,0.7,60,241.0,0.30,0.6,,,,0.05,0.20,0.5,31,95,sayuran,tunggal,,,
"Jotang, segar",89.0,34,1.9,0.3,7.1,3.5,1.7,162,41,4.0,59,388.5,0.30,1.2,,2,3918,0.03,,0.4,20,70,sayuran,tunggal,,,
"Kabau, segar",67.2,130,6.7,0.3,25.2,2.9,0.6,4,204,0.5,1,397.8,0.20,0.5,,165,,0.80,0.10,0.3,16,95,sayuran,tunggal,,,
"Kacang mekah,
polong, segar",93.6,22,1.1,1.0,3.4,1.1,0.9,63,296,1.0,2,69.2,0.30,,0,197,116,0.02,,0.4,0,91,sayuran,tunggal,,,
"Kacang panjang, segar",91.8,31,2.3,0.1,5.3,2.7,0.5,60,64,0.6,30,213.0,0.10,0.5,0,125,,0.70,0.10,0.3,46,92,sayuran,tunggal,,,
Kacang ranti polong,88.5,37,3.1,0.2,7.9,2.5,0.3,103,126,0.8,,,,,,,2312,0.02,,,6,83,sayuran,tunggal,,,
"Kalakai, segar",89.9,38,2.4,0.2,6.6,5.8,0.9,18,90,1.1,7,443.0,0.40,0.9,,44,,0.30,0.10,,8,70,sayuran,tunggal,,,
"Kangkung, segar",91.0,28,3.4,0.7,3.9,2.0,1.0,67,54,2.3,65,250.1,0.13,0.4,,2868,5542,0.07,0.36,2.0,17,60,sayuran,tunggal,,,
Kangkung tondano,88.5,43,1.8,0.2,8.4,4.3,1.1,72,9,0.7,30,361.0,0.30,0.4,,2741,,0.80,0.10,1.1,23,60,sayuran,tunggal,,,
"Kapri muda, segar",86.8,45,3.3,0.2,9.0,1.8,0.7,51,85,1.0,2,118.4,0.09,0.7,,72,440,0.20,0.10,0.9,49,80,sayuran,tunggal,,,
Karawila,93.7,25,2.3,0.2,3.5,2.1,0.3,25,67,0.3,8,88.4,0.08,0.3,,21,,0.10,0.10,0.4,39,80,sayuran,tunggal,,,
"Kecipir muda, segar",90.4,32,2.9,0.2,5.8,5.5,0.7,63,37,0.3,3,103.8,0.18,0.4,,261,595,0.24,0.11,0.7,19,96,sayuran,tunggal,,,
"Kecombrang, segar",90.0,34,0.9,1.0,6.7,2.6,1.4,60,16,1.0,47,650.6,,,0,0,73,0.00,0.02,0.8,0,100,sayuran,tunggal,,,
"Kelawi,kluwih, segar",70.0,118,1.5,0.3,27.2,5.0,1.0,28,32,0.9,2,500.9,0.09,0.1,,0,20,0.10,0.03,0.9,19,77,sayuran,tunggal,,,
"Kembang turi, segar",87.4,51,1.8,0.6,9.6,5.0,0.6,23,29,0.9,22,275.3,0.15,0.9,,201,105,0.13,0.12,0.6,41,83,sayuran,tunggal,,,
"Kerokot, segar",93.0,26,1.7,0.4,3.8,1.0,1.1,103,39,3.6,4,240.5,0.23,0.9,,0,2550,0.03,0.09,0.2,25,80,sayuran,tunggal,,,
"Ketimun, segar",97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,0,18,314,0.01,0.02,0.1,1,55,sayuran,tunggal,,,
"Ketimun krai, segar",96.8,10,0.5,0.2,2.0,0.6,0.5,20,98,1.0,10,82.1,0.03,0.1,0,19,21,0.02,0.03,0.1,3,82,sayuran,tunggal,,,
"Ketimun madura,
segar",97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,0,25,0,0.02,0.02,0.1,5,89,sayuran,tunggal,,,
"Komak, segar",74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567.0,0.20,0.6,,5,,0.20,0.19,0.1,,80,sayuran,tunggal,,,
Kool kembang,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47,187.0,0.04,0.3,,24,90,0.11,0.09,0.6,69,57,sayuran,tunggal,,,
"Kool merah,kool putih",92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28,236.8,0.29,0.3,,46,80,0.06,0.07,0.3,50,75,sayuran,tunggal,,,
"Koro kerupuk, polong",67.2,128,8.3,0.7,22.1,,1.7,17,12,2.7,,,,,,,80,0.11,,,31,68,sayuran,tunggal,,,
"Koro wedus, polong",88.0,46,3.0,0.3,7.9,3.3,0.8,56,47,1.1,2,249.3,0.09,0.4,,66,870,0.09,0.09,0.5,17,70,sayuran,tunggal,,,
"Kucai, segar",86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21,439.5,0.11,0.5,,2685,40,0.11,0.20,1.8,17,52,sayuran,tunggal,,,
"Kucai muda (Lokio),
segar",86.0,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22,449.1,0.11,0.5,,2744,500,0.11,0.20,1.8,59,100,sayuran,tunggal,,,
Kulit melinjo,71.9,111,4.5,1.1,20.7,5.0,1.8,117,179,2.6,,,,,0,,1267,0.07,,,7,100,sayuran,tunggal,,,
"Kundur, segar",94.0,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2,200.0,0.10,0.3,,7,,0.10,0.03,0.4,1,57,sayuran,tunggal,,,
"Labu air, segar",95.0,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2,168.2,0.03,0.8,,11,70,0.04,0.02,0.4,10,80,sayuran,tunggal,,,
"Labu kuning, segar",86.6,51,1.7,0.5,10.0,2.7,1.2,40,180,0.7,280,220.0,0.35,1.5,,1569,,0.20,0.00,0.1,2,74,sayuran,tunggal,,,
"Labu siam, segar",92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3,167.1,0.16,1.0,,48,20,0.02,0.00,0.6,18,83,sayuran,tunggal,,,
"Labu waluh, segar",91.2,32,1.1,0.1,6.6,0.5,1.0,45,64,1.4,1,356.2,0.13,0.3,,712,180,0.08,0.12,0.6,52,77,sayuran,tunggal,,,
"Lantar, segar",91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3,155.0,0.20,0.4,,38,,0.30,0.07,0.4,4,,sayuran,tunggal,,,
"Lobak, segar",94.1,21,0.9,0.1,4.2,1.4,0.7,35,26,0.6,49,109.3,0.03,0.2,,0,10,0.03,0.04,0.3,32,87,sayuran,tunggal,,,
"Lumai/Leunca, segar",90.5,38,1.1,0.3,7.6,2.0,0.5,7,55,1.0,2,,0.10,0.3,,25,,0.20,0.10,0.6,17,95,sayuran,tunggal,,,
"Melinjo, segar",80.0,66,5.0,0.7,13.3,,1.0,163,75,2.8,,,,,,,1000,0.10,,,"10
0",60,sayuran,tunggal,,,
Mostarda metan -sawi,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20,100.0,0.10,0.4,,1575,,0.20,0.10,0.1,12,85,sayuran,tunggal,,,
"Nangka muda, segar",85.4,57,2.0,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,,21,25,0.07,0.06,0.7,9,80,sayuran,tunggal,,,
"Paria putih, segar",94.4,19,1.0,0.4,3.6,1.3,0.6,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58,80,sayuran,tunggal,,,
"Pepare ular, segar",95.1,19,0.6,0.1,3.9,1.0,0.3,20,10,0.4,130,30.0,0.10,0.1,,69,,0.10,0.10,0.1,9,97,sayuran,tunggal,,,
"Pepaya muda, segar",92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,0.0,,0,50,0.02,0.03,0.3,19,65,sayuran,tunggal,,,
"Petai, segar",77.2,92,5.4,1.1,15.2,2.0,1.1,14,170,1.6,55,221.0,0.20,0.8,,114,,0.80,0.10,6.1,34,36,sayuran,tunggal,,,
"Peterseli, segar",83.9,53,3.7,1.0,9.0,0.0,2.4,193,84,4.3,18,"1125.
6",0.20,1.4,,2940,8230,0.11,0.29,0.7,"19
3",95,sayuran,tunggal,,,
"Pucuk lumai/daun
leunca, segar",91.0,33,4.5,0.4,2.8,,1.3,13,75,2.9,2,0.0,0.20,0.6,,,,0.50,0.10,,41,70,sayuran,tunggal,,,
"Putri malu, segar",80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631.0,0.60,1.4,,4762,,0.60,0.60,,6,,sayuran,tunggal,,,
"Rebung, segar",93.3,25,0.8,0.1,5.3,9.7,0.5,3,5,0.5,3,206.0,0.10,0.4,,10,,0.20,0.07,0.5,0,28,sayuran,tunggal,,,
"Rimbang, segar",80.8,75,1.6,0.6,15.8,10.0,1.2,55,97,0.6,20,234.0,0.40,0.4,,51,,0.40,0.10,1.3,38,95,sayuran,tunggal,,,
Rumput laut,87.0,41,1.4,0.3,8.1,2.2,3.2,80,20,1.6,250,380.0,0.20,0.4,,1958,,0.20,0.00,0.1,7,100,sayuran,tunggal,,,
"Sawi, segar",92.2,28,2.3,0.3,4.0,2.5,1.2,220,38,2.9,22,436.5,0.12,0.2,,2042,6460,0.09,0.23,0.7,"10
2",87,sayuran,tunggal,,,
"Sawi putih / pecai,
segar",96.6,9,1.0,0.1,1.7,0.8,0.6,56,42,1.1,5,193.1,0.05,0.1,0,862,832,0.05,0.18,0.4,3,79,sayuran,tunggal,,,
"Sawi taiwan, segar",91.8,30,1.9,0.5,4.4,2.7,1.4,100,58,1.6,27,217.0,0.10,0.7,,1340,,0.20,0.10,0.6,33,85,sayuran,tunggal,,,
"Sawi tanah, segar",94.9,19,1.3,0.2,2.9,2.2,1.0,92,45,1.2,17,145.0,0.10,0.4,,815,,0.20,0.10,0.1,36,85,sayuran,tunggal,,,
"Selada, segar",94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19,186.4,0.03,0.2,,1526,540,0.04,0.13,0.4,8,69,sayuran,tunggal,,,
"Selada air, segar",93.3,17,3.1,0.2,2.2,0.7,1.2,95,152,2.4,65,260.7,0.11,0.2,0,1230,3727,0.09,0.14,0.7,56,70,sayuran,tunggal,,,
"Seledri, segar",93.0,23,1.0,0.1,4.6,2.0,1.3,50,40,1.0,64,258.8,0.08,0.4,,63,130,0.03,0.07,0.4,11,63,sayuran,tunggal,,,
"Taoge, segar",90.4,34,3.7,1.2,4.3,1.1,0.4,166,74,0.8,19,93.3,0.16,0.4,,41,20,0.09,0.15,1.1,5,100,sayuran,tunggal,,,
"Taoge kacang kedelai,
segar",81.0,76,9.0,2.6,6.4,0.7,1.0,50,65,1.0,5,212.4,0.26,0.7,,0,110,0.23,0.19,1.2,15,100,sayuran,tunggal,,,
"Taoge kacang
tunggak, segar",88.0,40,5.0,0.2,5.8,2.6,1.0,57,88,1.0,2,226.8,0.07,0.5,,299,0,0.07,0.08,0.8,15,90,sayuran,tunggal,,,
"Tebu terubuk (lilin),
segar",91.0,30,4.6,0.4,3.0,0.8,1.0,40,80,2.0,699,,0.20,1.1,,12,0,0.08,0.20,1.2,50,20,sayuran,tunggal,,,
"Tekokak, segar",89.0,34,2.0,0.1,7.9,4.9,1.0,50,30,2.0,3,333.3,0.12,0.2,,23,750,0.08,0.05,0.9,8,95,sayuran,tunggal,,,
"Tekokak, kering",12.3,302,8.3,1.7,72.6,21.2,8.1,370,180,22.2,9,0.0,"1044.2
0",1.0,,187,750,0.40,0.17,5.1,0,100,sayuran,tunggal,,,
"Terong, segar",92.7,28,1.1,0.2,5.5,2.1,0.5,15,37,0.4,9,187.0,0.10,0.1,,46,30,0.04,0.03,0.5,5,100,sayuran,tunggal,,,
"Terong asam, segar",90.5,37,2.0,0.4,6.3,3.2,0.8,13,59,1.5,3,155.0,0.30,0.3,,97,,0.20,0.10,0.8,4,,sayuran,tunggal,,,
"Terung belanda, segar",87.3,52,2.1,1.1,8.6,1.4,1.0,16,40,1.1,,,,,0,,8048,0.42,0.06,0.0,12,100,sayuran,tunggal,,,
"Terung bengkulu,
segar",86.6,52,1.1,0.4,11.2,3.2,0.8,19,39,1.1,14,,0.16,1.0,0,85,600,0.23,0.04,0.0,6,100,sayuran,tunggal,,,
"Terong hintalo, segar",89.2,45,1.9,0.8,7.5,5.1,0.6,19,268,1.0,167,142.0,0.60,0.2,,552,,0.20,0.40,,4,,sayuran,tunggal,,,
Terung panjang,91.8,25,2.1,0.1,5.3,0.5,0.7,38,24,0.7,9,53.7,0.09,0.2,0,83,24,0.15,0.06,0.7,8,100,sayuran,tunggal,,,
"Tomat, air (sari), segar",94.0,20,1.0,0.2,3.5,0.4,1.3,7,15,0.4,10,225.2,0.06,0.1,,266,600,0.05,0.03,0.7,10,100,sayuran,tunggal,,,
"Tomat merah, segar",92.9,24,1.3,0.5,4.7,1.5,0.6,8,77,0.6,10,164.9,0.14,0.2,,575,2083,0.06,0.07,0.4,34,100,sayuran,tunggal,,,
"Tomat muda, segar",93.0,24,2.0,0.7,3.3,1.8,2.0,5,27,0.5,10,210.0,0.07,0.2,,384,320,0.07,0.04,0.7,30,95,sayuran,tunggal,,,
"Uceng/ bunga melinjo,
segar",79.5,82,5.8,1.3,11.7,4.8,1.7,70,266,2.4,,,,,,,58,0.11,0.15,,3,89,sayuran,tunggal,,,
"Umbut kelapa, segar",89.3,39,2.0,0.2,7.2,2.5,1.3,57,49,,4,447.0,0.20,1.4,,16,,0.10,0.10,,8,,sayuran,tunggal,,,
Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,1.3,89,79,1.3,8,552.0,0.20,1.9,,14,,0.20,,,9,,sayuran,tunggal,,,
"Wortel, segar",89.9,36,1.0,0.6,7.9,1.0,0.6,45,74,1.0,70,245.0,0.06,0.3,,3784,7125,0.04,0.04,1.0,18,80,sayuran,tunggal,,,
"Bayam, kukus",90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15,431.0,0.10,0.3,0,2699,3750,0.02,0.10,0.9,32,100,sayuran,olahan,,,
"Bayam ,rebus",93.5,23,1.2,0.6,3.7,1.1,1.0,150,35,0.5,16,308.4,0.20,0.3,0,3282,2864,0.02,0.10,0.9,19,100,sayuran,olahan,,,
"Buncis, rebus",90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7,138.9,0.10,0.3,,1,402,0.01,0.29,2.0,8,100,sayuran,olahan,,,
"Daun kacang panjang,
kukus",87.2,40,3.7,0.3,8.0,1.8,0.8,111,66,3.7,6,419.5,0.20,0.3,0,2645,5781,0.15,0.20,0.9,11,100,sayuran,olahan,,,
"Daun katuk, rebus",83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16,291.3,0.30,1.3,0,11131,9000,0.00,0.30,2.2,66,100,sayuran,olahan,,,
"Daun kelor, rebus",80.3,61,6.1,0.9,10.0,0.9,2.6,255,36,2.1,45,181.2,0.10,0.6,,3972,6071,0.10,0.10,4.0,13,100,sayuran,olahan,,,
"Daun mengkudu,
kukus",81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6.0,,,,,,2,4900,0.08,0.10,5.2,11,100,sayuran,olahan,,,
"Daun singkong, rebus",90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13,14.0,0.10,2.0,,3897,4150,0.02,0.10,1.7,34,100,sayuran,olahan,,,
"Daun talas, rebus",91.6,27,1.3,0.2,5.9,1.6,1.0,119,41,1.4,3,519.4,0.50,0.5,0,4641,2682,0.00,0.60,1.9,7,100,sayuran,olahan,,,
"Daun ubi merah,
kukus",82.5,56,3.1,0.3,13.0,1.5,1.1,78,52,4.3,28,472.8,0.10,0.4,,5277,5397,0.00,0.20,1.1,14,100,sayuran,olahan,,,
"Kacang panjang
,kukus",88.2,39,3.0,0.6,7.6,1.7,0.6,100,91,1.2,28,199.0,0.11,0.5,0,131,205,0.02,0.10,0.3,20,100,sayuran,olahan,,,
"Kacang panjang, rebus",90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24,114.5,0.10,0.4,0,128,162,0.00,0.07,0.2,15,100,sayuran,olahan,,,
"Kangkung, kukus",90.4,30,3.2,0.7,4.7,1.8,1.0,70,49,4.4,45,184.9,0.10,0.3,0,2370,5837,0.03,0.28,1.4,11,100,sayuran,olahan,,,
"Kangkung, rebus",93.0,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31,98.0,0.10,0.3,0,2370,4325,0.01,0.22,1.2,13,100,sayuran,olahan,,,
"Paria putih, kukus",95.0,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4,236.0,0.00,0.7,,187,65,0.15,0.04,0.3,35,100,sayuran,olahan,,,
"Selada, rebus",93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24,160.7,0.05,0.2,,2499,3700,0.08,0.20,0.6,27,100,sayuran,olahan,,,
"Taoge, goreng",79.2,88,3.2,2.1,14.0,0.7,1.5,168,50,5.7,,,,,2,,613,0.05,,,0,100,sayuran,olahan,,,
"Taoge, seduh",91.9,28,3.0,0.8,4.0,1.0,0.3,52,73,0.5,18,58.3,0.19,0.4,,46,18,0.10,0.00,0.9,2,87,sayuran,olahan,,,
"Terung panjang,
kukus",92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9,57.0,67.10,0.2,0,99,20,0.00,0.07,0.7,1,100,sayuran,olahan,,,
"Wortel, rebus",92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41,117.3,0.10,0.2,0,3824,5396,0.01,0.03,0.7,12,100,sayuran,olahan,,,
"Wortel, kukus",89.5,37,1.0,0.6,8.3,1.1,0.6,44,30,0.6,43,122.5,0.11,0.3,0,3994,7150,0.02,0.03,0.8,14,100,sayuran,olahan,,,
"Asinan Bogor, sayuran",78.0,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483,,,,10,,146,0.28,,,5,100,sayuran,olahan,125,,
"Anyang, sayur",76.9,126,3.4,7.9,10.3,5.4,1.5,180,1,2.9,290,181.0,0.30,1.2,,3263,,0.20,,,,100,sayuran,olahan,126,"Hasil: 1 porsi
Buah buahan :
2 biji salak
1 mangga muda
1 timun
2 kedondong
1 bengkuang
1 nanas
Bahan kuah :
2 cabe merah keriting
1 sdt garam
1 sdm gula
1 sdm cuka / air jeuk kunci
1 gelas air",Potong dan cuci bersih semua buah. Blender bumbu kuah lalu campurkan air dan tambahkan perasan air jerukk. Saring dan campurkan kedalam buah rendam 1 jam dinginkan siap di makan
"Ares, sayur",77.7,113,0.9,7.2,11.2,4.7,3.0,63,5,1.5,1413,"1030.
0",0.70,3.8,,6,,0.10,,0.5,,100,sayuran,olahan,127,"Hasil: 2 porsi
Bumbu anyang:
150 gr kelapa agak muda (parut)
2 buah cabai keriting merah
1 buah cabai merah besar
2 siung bawang merah
1 siung bawang putih
secukupnya Garam dan gula
Air jeruk nipis
Sayur:
3 buah kacang panjang
100 gr kecambah/toge","1. Kukus bahan bumbu anyang hingga layu. Kemudian ulek halus, beri garam dan gula. Tambahkan kelapa parut dan air perasan jeruk nipis, aduk rata. Tes rasa.
2. Kukus/rebus sayuran sebentar saja, lalu campurkan sayuran dengan bumbu anyang tadi dan aduk hingga tercampur."
Arwan sirsir,59.0,277,2.4,25.0,10.7,4.6,2.9,120,40,2.4,240,320.0,0.20,0.9,,1578,,0.10,0.20,0.0,11,100,sayuran,olahan,128,"Hasil: 6 porsi
bahan isian sayur
200 gr batang pisang muda
4 sdt garam, untuk meremas2 batang pisang
5 buah kacang panjang
1/2 buah labu siam
4 lembar daun So

bumbu Iris
2 buah cabai merah keriting
2 buah cabai hijau keriting
4 buah cabai rawit, utuh

bumbu uleg/halus
5 siung bawang putih
8 siung bawang merah
3 butir kemiri
3 biji ebi
2 cm terasi
2 sdt ketumbar
3 cm kunyit

bumbu cemplung
2 cm jahe, geprek
2 daun jeruk, buang tulangnya
2 daun salam
1 ruas jari lengkuas, geprek
1 sdt kaldu bubuk
1/4 sdt penyedap rasa
3 cm tempe semanggit
1 sdt gula pasir
1 sdt gula jawa, disisir
1 bungkus santan instan
2-3 sdt garam
1 liter air","1. Batang pisang (yang belum berbuah) dikupas sampai bagian dalamnya yang muda, baru kemudian diiris-iris.
2. Setelah benang-benang terbuang, batang pisang yang telah diiris diberi garam (garam kasar beryodium) sambil terus diremas-remas, maksudnya supaya ares ini menjadi lemas dan rasa sepatnya berkurang. diperas dan dicuci dengan air bersih yang mengalir. lalu diperas lagi.
3. Potong-potong sesuai selera kacang panjang, daun So dan labu siam. cuci bersih.
4. Bumbu-bumbu diulek semua sampai halus. kecuali jahe cukup di geprek saja hingga memar dan cabai di potong serong. Lalu tumis dengan sedikit minyak, tumis hingga harum. (jika suka pedas, cabai bisa di haluskan dengan bumbu uleg lainnya).
5. Masukkan air, Baru dimasukkan ares dan sayur lainnya, sambil diaduk. masukkan bumbu cemplung. Terakhir dimasukkan santannya dan dimasak sampai matang.. dengan cara dipencet jika sudah lunak artinya sudah matang... Jangan lupa di aduk terus supaya santan nya tidak pecah. koreksi rasa.
6. Sajikan dengan Gereh layur."
Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179,72,8.3,53,427.0,0.40,0.2,,44,,0.30,,4.4,,100,sayuran,olahan,129,"2 ikat daun singkong
1 tumbuk bunga papaya
5 lembar daun papaya
½ gelas santan kental dari ½ butir kelapa
10 butir cabai biasa
5 siung bawang merah
5 siung bawang putih
Terasi bakar secukupnya (dapat diganti dengan ebi yang dihaluskan)
Garam secukupnya
Penyedap rasa secukupnya
Minyak goreng secukupnya","1. Rebus daun singkong yang telah dipisahkan dari batangnya beserta bunga papaya hingga lunak kemudian peras dan bilas dengan air bersih hingga airnya tidak keruh, kemudian sisihkan.
2. Pisahkan batang daun pepaya dengan daunnya (yang akan digunakan hanya daunnya).
3. Ambil daun pepaya dan remas dengan sedikit garam untuk mengurangi rasa pahit, kemudian sisihkan.
4. Haluskan cabai, bawang merah, bawang putih dan terasi atau eby.
Panaskan wajan, beri minyak goring, tumis bumbu yang telah dihaluskan hingga harus, masukkan daun singkong, bunga pepaya, dan daun pepaya. Aduk hingga bumbu meresap.
5. Masukkan santan kental dan aduh hingga bumbu meresap
6. Angkat dan hidangkan Sayur Sirsir."
Botok lamtoro,63.9,186,11.7,9.7,13.0,2.1,2.2,771,322,26.0,,,,,18,,179,0.27,,,2,100,sayuran,olahan,130,"Hasil: 1 orang
2 helai kacang panjang potong-potong kecil
5 buah cabai rawit
1/2 tomat
1 siung bawang merah
Seiprit terasi, 1/2 sdt garam, 1/4 sdt gula
1 sdm minyak goreng
1/2 buah limau (air perasan)","1. Ulek cabai+garam+gula sampai halus, masukkan bawang merah+terasi ulek lagi, terakhir tomat ulek hingga tercampur rata semua. Masukkan potongan kacang panjang ulek kasar agar sambal menyerap
2. Ulek sampai tercampur rata, tes rasa, boleh tambah garam, gula atau micin sasa biar lebih sedep 😁
Tuang 1 sdm minyak goreng dan perasan air jeruk limau.
Pindahkan ke mangkuk, sambel beberuk siap disajikan bersama nasi hangat."
Buntil daun talas,74.5,141,4.4,10.2,8.0,1.8,3.0,149,121,14.5,,,,,13,,8610,0.25,,,1,100,sayuran,olahan,131,"Hasil: 2 orang
1 ons lamtoro/mlanding
2 potong tahu putih
1/4 papan tempe
1/2 butir kelapa parut
secukupnya rebon
3 siung bawang merah
2 siung bawang putih
secukupnya garam
4 buah cabe
secukupnya penyedap rasa
2 butir kemiri
secukupnya ketumbar bubuk
1 lembar daun jeruk
2 lembar daun salam (potong jadi 8 bagian)
tusuk gigi
daun pisang","1. Potong tahu dan tempe kecil-kecil
2. Uleg bawang,merah,bawang putih,cabe,kemiri,daun jeruk dan garam
3. Siapkan wadah masukan lamtoro,rebon,tahu,tempe,kelapa parut,bumbu uleg,ketumbar dan aduk sampai tercampur rata
4. Siapkan daun pisang taruh daun salam dan ambil adonan botok lalu bungkus dan sematkan tusuk gigi"
Cammetutu,79.6,102,3.2,6.0,8.7,4.3,2.5,41,93,0.5,443,518.0,0.30,0.7,,1123,,0.30,0.40,0.4,19,100,sayuran,olahan,132,"Hasil: 5 porsi
20 lembar daun talas
garam secukupnya (untuk menghilangkan oksalat/getah daun yang membuat gatal lidah)
1/2 butir kelapa muda
100 gr teri nasi/asin
4 siung bawang putih
1 sdm terasi
3 buah cabai merah keriting
2 buah kencur (ukuran 3 cm-an)
1 buah gula merah/ 100 gram gula merah
Bumbu Kuah
5 siung bawang putih
7 siung bawang merah
3 butir kemiri
5 buah cabai merah keriting
2 buah kunyit (ukuran 3 cm-an)
1 sdt garam
1 sdt kaldu bubuk
3-4 sdt gula pasir
1000 ml air
Bumbu Santan
500 ml air (ambil dari sebagian Bumbu Kuah)
2 buah lengkuas (ukuran 3 cm-an)
2 batang serai
5 helai daun salam
3 helai daun jeruk wangi
1 buah santan instan cair
3 sdt bubuk santan /fiber creme
Lainnya
Tusuk gigi","1. Agar tidak gatal di lidah, jemur daun talas biar agak layu (jangan sampai kering) apabila sudah agak layu, lalu rendam daun talas dengan air panas dan garam selama 25 menit, cuci dan tiriskan.
2. Parut kelapa muda dan sisihkan
3. Cuci dan goreng teri nasi/asin dengan sedikit minyak lalu tiriskan dan sisihkan
4. Kupas bawang putih dan kencur lalu sisihkan.
5. Iris gula merah lalu sisihkan
6. Blender bawang putih, kencur, gula merah, cabai merah, terasi dan tambakan 3 sdm air saat blender agar tidak terlalu kental. Campurkan bumbu tersebut ke kelapa parut lalu tambahkan teri nasi yang sudah digoreng dan aduk rata hingga bumbu merata.
7. Ambil empat helai daun talas dan susun bertumpuk. 8. Apabila daun ada yang besar dan kecil, susun dari alas yang besar dulu baru kecil. Masukkan adonan (Langkah 6) kira - kira 2 - 3 sdm. Lipat satu langkah dari arah tangkai daun, lalu lipat sisi kanan dan kiri daun, baru lipat/gulung sampai ke ujung daun. Tusukkan tusuk sate di ujung lipatan agar tidak lepas gulungan/lipatannya.
9. Masukkan ke dalam alat kukusan sampai warna daun terlihat hitam, kira - kira selama 1 - 2 jam/ bisa dipresto jika ingin hasilnya lebih empuk dan cepat matang
10. Sambil menunggu kukusan buntil matang, buat kuah buntil dengan cara blender bumbu kuah seperti bawang putih, bawang merah, kemiri, cabai merah, kunyit dan beri 3 sdm air agar tidak terlalu kental lalu tumis dengan sedikit minyak. Tambahkan air, garam, kaldu bubuk, gula pasir lalu tes rasa dan sisihkan.
11. Buat bumbu santan dengan cara geprek lengkuas dan serai lalu sisihkan
12. Ambil setengah/sebagian kuah dari bumbu kuah yang sudah dibuat, masukkan geprekan lengkuas dan serai, daun salam, daun jeruk wangi, santan instan cair dan bubuk santan/fiber creme. Masak sebentar dengan api kecil lalu sisihkan
13. Apabila buntil sudah matang, siapkan alat untuk memasak buntil dengan cara siapkan bumbu kuah, masukkan buntil ke bumbu kuah. Masak hingga bumbu kuah agak menyusut (nyemek-nyemek).
14. Apabila bumbu kuah agak menyusut, masukkan bumbu santan yang sudah dibuat tadi, lalu tunggu hingga kuah bumbu menyusut juga (nyemek-nyemek)
15. Setelah kuah bumbu menyusut (nyemek - nyemek) lalu angkat dan sajikan buntil.Buntil daun talas siap disajikan"
