,nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah,bahan_stemmed
328,kacang negara,3.1,480,18.4,19.1,58.5,11.7,0.9,34,404,10.3,1010,385.0,2.50,7.1,0,0,0,0.63,0.05,2.6,0,100,"kacang, biji, bean",olahan,,"hasil: 1 toples (besar)
4 kaleng (bekas susu skm) kacang tanah.
4 kaleng (bekas susu skm) gula pasir.
pewarna makanan.
air secukupnya aja.","1. 1 kaleng susu kacang tanah di sangrai,sampai mateng.
2. sambil sangrai kacang buat gula caramelnya 1 kaleng gula pasir di lelehkan dgn air secukupnya tambahkan pewarna makanan.setalah gulanya cair.tes dgn cara teteskan sedikit gula ke dlm air jika mengeras berarti udh bagus.kecilkan api nya agar tdk hangus dan tdk mengeras.jika mengeras tambahkan lgi sedikit air..
3. masukkan kacang yg sudah di sangrai ke dalam baskom besar yg berlubang lubang.tambahkan gula karamel sedikit demi sedikit lalu goyang-goyangkan maskom nya.lakukan hingga semua kacang terselimuti gula..
4. ulangi lagi langkah2 diatas sampai selesai..","['hasil', 'toples', 'kaleng', 'bekas', 'susu', 'skm', 'kacang', 'tanah', 'kaleng', 'bekas', 'susu', 'skm', 'gula', 'pasir', 'warna', 'makan', 'air']"
329,kacang sukro,4.7,484,8.8,26.1,57.7,1.8,2.7,49,194,2.5,0,0,0,0,0,0,0.0,0.06,0,0,0,100,"kacang, biji, bean",olahan,115,,,[]
330,kacang tanah sari,2.1,561,25.5,43.8,26,2.2,2.6,50,324,3.1,0,0,0,0,0,0,0.0,0.08,0,0,0,100,"kacang, biji, bean",olahan,116," hasil: 1 kg lebih
500 gr kacang tanah
700 gr kanji/tapioka
5 siung bawang putih (haluskan)
2 sdt kaldu bubuk (me: royco)
2 sdt garam
500 ml air","1. basuh kacang sebentar saja dan keringkan (bisa dijemur atau disangrai api kecil).
2. buat cairan lem bumbu : campur bawang putih, garam, kaldu, 2 sdm kanji/tapioka dan air. masak api kecil hingga agak kental seperti lem cair.
3. beri dan campur rata adonan lem (kurleb 2-3 sdm) pada kacang. kemudian pindah kacang pada wadah lain yang sudah ditabur sedikit tepung (kurleb 3 sdm). aduk rata dan goyang-goyang wadah supaya kacang terbalur tepung. (jika perlu ayak sisa tepung yg tidak menempel di kacang)
4. pindah kembali kacang yang sudah terbalur tepung ke wadah pertama. tambah dan campur rata adonan lem. pindah lagi kacang ke wadah tepung dan balur rata. ulangi hingga 4-5 kali membalur kacang dengan lem dan tepung
5. goreng kacang di minyak cukup panas saja dg api kecil hingga matang.","['hasil', 'kg', 'gr', 'kacang', 'tanah', 'gr', 'kanjitapioka', 'siung', 'bawang', 'putih', 'halus', 'sdt', 'kaldu', 'bubuk', 'royco', 'sdt', 'garam', 'ml', 'air']"
331,"keju kacang tanah
(peanut butter)",3,590,27,49.0,20.9,1.6,0.1,60,360,2.0,355,492.4,0.57,2.7,0,0,0,0.30,0.20,16.2,0,100,"kacang, biji, bean",olahan,117,"hasil: 1.5 liter
200 gr kacang tanah yg berkwalitas dan ga pahit
air matang
gula
garam
daun pandan (opsional)
vanili (opsional)
sereh (opsional)
kayu manis (opsional)
kain saring klo bisa berbahan poliester","1. rendam kacang tanah semalaman (sekitar 8jam) yg bertujuan untuk mengaktifkan enzim yg memecah protein lemak gula menjadi sederhana sehingga kacang lebih empuk dan hasil lebih gurih. (gambar dibawah ini kwalitas kacang yg saya gunakan. warna cerah, besar, fresh.)
2. cuci bersih dan tiriskan.
3. panaskan dengan suhu dibawah suhu mendidih ±80°c selama 15menit. catat, ga boleh sampe mendidih!!!. (proses ini biasa d sebut proses blansir yg bertujuan untuk menonaktifkan enzim dan menghilangkan bau langu)
4. tiriskan dan pisahkan kulit ari agar tampilan sari lebih putih bersih. jika dirasa ribet skip aja proses ini.
5. blender kacang tanah dg 300ml air matang
6. saring dan peras kg kain saring. usahakan bahan poliester dg ukuran mesh yg lebih rapat.
7. ampas hasil perasan, masukkan lagi kedalam belender dan tambahkan air 300ml. proses ekstraksi ini ulangi hingga 3-5x sesuai selera kekentalan anda. proses ini saya lakukan 4x.
8. panaskan filtrat/sari kacang beserta gula, garam, dan bumbu2 (pilih salah satu ato beberapa: pandan vanili sereh kayu manis) di suhu kira2 80c selama 15menit (intinya jangan sampe mendidih sama sekali). poses ini biasa disebut pasteurisasi. (saya pake bumbu vanili&pandan aja agar rasa tetep original)
9. sajikan, bisa dicampur krimer atau susu bubuk jika dirasa terlalu encer. atur tingkat manis asin sesuai selera anda. bisa juga buat campuran kopi+krimer yg hasilnya lebih enak dari kopi gooday carabian nut (kopi instan rasa kacang).","['hasil', 'liter', 'gr', 'kacang', 'tanah', 'berkwalitas', 'pahit', 'air', 'matang', 'gula', 'garam', 'daun', 'pandan', 'opsional', 'vanili', 'opsional', 'sereh', 'opsional', 'kayu', 'manis', 'opsional', 'kain', 'saring', 'bahan', 'poliester']"
332,kembang tahu,10.8,380,48.9,13.8,23.3,0.0,3.2,378,781,2.1,55,455.3,0.68,4.2,0,0,0,0.15,0.08,0.7,0,100,"kacang, biji, bean",olahan,,"hasil: 5 porsi
250 gram kacang tanah, sangrai
3 sendok makan minyak sayur
1/4 sendok teh garam halus
80 gram gula putih dan blender sampai halus","1. haluskan kacang sangrai, hasilnya seperti ini yah, moms.
2. haluskan kembali kacang sampai agak creamy, seperti ini.
3. tambahkan minyak (minyak sayur, minyak kacang, minyak mazola. terserah aja sesuai selera), gula dan sedikit garam. dan haluskan kembali sampai creamy.
4. sudah jadi, siap digunakan untuk isian roti ataupun olesan roti tawar.","['hasil', 'porsi', 'gram', 'kacang', 'tanah', 'sangrai', 'sendok', 'makan', 'minyak', 'sayur', 'sendok', 'garam', 'halus', 'gram', 'gula', 'putih', 'blender', 'halus']"
333,kembang tahu rebus,79.8,90,10.7,4.0,4.7,0,0.8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
334,keripik oncom,3,598,8.3,43.8,42.6,3.3,2.2,85,153,27.0,0,0,0,0,0,0,1608.0,1.13,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
335,keripik tempe,3.3,581,12.1,40.6,41.7,2.2,2.3,237,116,6.9,0,0,0,0,0,0,320.0,0.35,0,0,0,100,"kacang, biji, bean",olahan,118,,,[]
336,"keripik tempe abadi
besar",4.5,556,15.8,37.1,39.8,3.5,2.8,112,215,5.4,0,0,0,0,0,0,0.0,0.63,0,0,0,100,"kacang, biji, bean",olahan,,"hasil: 250 gram
bahan utama :
1 papan tempe kwalitas bagus (pilih yang tekstur nya padat)
70 gram (1 bungkus) 𝙆𝙤𝙗𝙚 𝙏𝙚𝙥𝙪𝙣𝙜 𝙏𝙚𝙢𝙥𝙚 𝙆𝙧𝙞𝙪𝙠
3 lembar daun jeruk iris halus
500 ml minyak goreng","1. iris tipis tempe
2. goreng sampai matang & kering, angkat dan tiriskan
3. campurkan kobe tepung tempe kriuk, daun jeruk dan air, aduk hingga tercampur rata
4. masuk kan tempe yang sudah digoreng ke adonan basah
5. goreng dalam minyak panas hingga kuning kecoklatan
6. angkat biarkan benar² dingin, kemas dalam wadah tertutup agar tetap awet kerenyahan nya
selamat mencoba 🙏🏼🥰","['hasil', 'gram', 'bahan', 'utama', 'papan', 'tempe', 'kwalitas', 'bagus', 'pilih', 'tekstur', 'padat', 'gram', 'bungkus', 'lembar', 'daun', 'jeruk', 'iris', 'halus', 'ml', 'minyak', 'goreng']"
337,"keripik tempe abadi
murni",3.2,542,40.3,42.4,11.6,2.2,2.7,175,529,5.2,0,0,0,0,0,0,50.0,0.10,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
338,"keripik tempe abadi
sedang",4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,0,0,0,0,0,0,0.0,0.52,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
339,"keripik tempe abadi
telur",4.5,529,20.8,31.7,40.2,3.0,2.9,124,222,5.4,0,0,0,0,0,0,0.0,0.86,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
340,"kerupik tempe abadi
prima",4.8,540,16.7,33.9,42,2.2,2.6,92,184,3.2,0,0,0,0,0,0,1080.0,0.38,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
341,kwaci,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124,448.6,0.65,9.7,0,0,0,0.02,0.19,0.3,0,35,"kacang, biji, bean",olahan,,,,[]
342,"melinjo emping tebal
goreng manis",5.6,439,10,16.4,65.7,0,2.3,66,225,0,0,0,0,0,0,0,0.0,0.10,0,0,0,100,"kacang, biji, bean",olahan,119,,,[]
343,"melinjo emping tebal,
goreng asin",8,431,11.1,16.2,63,0,1.6,77,0,0,0,0,0,0,0,0,0.0,0.08,0,0,0,100,"kacang, biji, bean",olahan,,"hasil: 1 porsi
1 baskom sedang emping melinjo goreng
3 lembar daun jeruk
1/2 gelas air
100 gram gula merah disisir halus
garam secukupnya
minyak goreng secukupnya

bahan bumbu halus
8 butir bawang merah
4 siung bawang putih
10 buah cabai rawit merah, pedasnya sesuai selera","1. siapkan semua bahan yang dibutuhkan untuk membuat emping melinjo pedas manis.
2. panaskan sedikit minyak dalam wajan untuk menumis.
3. tumis bumbu halus sampai bau harum.
4. tambahkan daun jeruk dan tumis sebentar.
5. tuang air lalu tambahkan gula medah dan garam. aduk rata hingga gula merah larut dan bumbunya kental. jangan lupa koreksi rasanya sampai pas.
6. setelah mengental, kecilkan api lalu masukkan emping goreng.
7. aduk sambil dibolak-balik agar tiap lembaran emping goreng terlapisi bumbu.
8. diamkan emping sebentar sampai agak dingin baru masukan keripik melinjo pada toples kedap udara.
9. emping melinjo pedas manis siap disajikan untuk cemilan.","['hasil', 'porsi', 'baskom', 'emping', 'melinjo', 'goreng', 'lembar', 'daun', 'jeruk', 'gelas', 'air', 'gram', 'gula', 'merah', 'sisir', 'halus', 'garam', 'minyak', 'goreng', 'bahan', 'bumbu', 'halus', 'butir', 'bawang', 'merah', 'siung', 'bawang', 'putih', 'buah', 'cabai', 'rawit', 'merah', 'pedas', 'sesuai', 'selera']"
344,"melinjo emping tipis
goreng",3.3,485,11.5,24.5,59.1,0,1.5,85,218,0,0,0,0,0,0,0,0.0,0.11,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
345,moon tahu,79.9,128,8,10.0,1.3,0.2,0.8,205,92,2.5,393,0,0,0,131,0,5300.0,0.46,0,0,0,100,"kacang, biji, bean",olahan,120,,,[]
346,oncom,57,187,13,6.0,22.6,0,1.4,96,115,27.0,0,0,0,0,0,0,0,0.09,0.00,1.6,0,100,"kacang, biji, bean",olahan,,"hasil: 4 porsi
1 bh tahu air (ukuran 10cm x 10cm), potong dadu 1,5cm
100 gr daging cincang ayam/sapi/babi
100 gr udang, buang kulit
4 siung bawang putih, cincang kasar
2 btg daun bawang, iris tipis
1 cm jahe, memarkan (optional)
1 tbsp tepung maizena
3 tbsp air, untuk melarutkan tepung
200 ml air
1 1/2 teasp kecap ikan
1 teasp minyak wijen
1/3 teasp kenor
secukupnya garam
secukupnya lada","1. tumis bawang putih dan jahe sampai harum
2. masukkan daging ayam/sapi/babi dan udang hingga setengah matang. aduk rata
3. tambahkan kecap ikan, kenor, garam dan lada.  aduk rata
4. tuang air, masak sampai air mendidih. kemudian masukkan tahu. aduk rata
5. kentalkan dengan tepung maizena. masak sambil diaduk hingga meletup-letup
6. tambahkan 2/3 bagian dari daun bawang dan minyak wijen. aduk rata sekitar 2-3 menit
7. angkat dan sajikan dengan sisa daun bawang","['hasil', 'porsi', 'bh', 'air', 'ukur', 'potong', 'dadu', 'gr', 'daging', 'cincang', 'ayamsapibabi', 'gr', 'udang', 'buang', 'kulit', 'siung', 'bawang', 'putih', 'cincang', 'kasar', 'btg', 'daun', 'bawang', 'iris', 'tipis', 'jahe', 'memar', 'optional', 'tbsp', 'tepung', 'maizena', 'tbsp', 'air', 'larut', 'tepung', 'ml', 'air', 'teasp', 'kecap', 'ikan', 'teasp', 'minyak', 'wijen', 'teasp', 'kenor', 'garam', 'lada']"
347,"oncom ampas kacang
hijau",13.4,376,14.9,6.0,65.7,12.3,1.7,199,110,10.9,0,0,0,0,0,0,0,0.03,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
348,"oncom kacang hijau +
singkong",16.5,351,11,5.3,65.9,9.0,1.3,164,113,7.8,0,0,0,0,0,0,0,0.01,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
349,"oncom kacang tanah
pepes",65,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,0,0,0,0,0,0,10.0,0.08,0.20,0.7,0,100,"kacang, biji, bean",olahan,,,,[]
350,"rempeyek kacang
tanah",3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,0,0,0,0,0,0,0.0,0.10,0,0,0,100,"kacang, biji, bean",olahan,121,,,[]
351,rempeyek kacang tolo,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,0,0,0,0,0,0,0.0,0.02,0,0,0,100,"kacang, biji, bean",olahan,122,"hasil: 700gr
250 gr tepung beras
80 gr tepung tapioka
100 gr kacang tanah
secukupnya daun jeruk
1 butir telur
1 sdm ketumbar
4 butir bawang putih
3 butir kemiri
1 cm kencur
2 cm kunyit
1/2 bks santan instan
1 sdt garam
secukupnya penyedap rasa
secukupnya air
minyak untuk menggoreng","1. cuci bersih, tiriskan, lalu potong kacang tanah jadi 2 bagian
2. cuci bersih dan potong halus daun jeruk
3. ambil wadah yg agak besar, campurkan tepung beras tepung tapioka. haluskan: ketumbar, bawang putih, miri, kencur dan kunyit masukkan kedalam campuran tepung beras dan tapioka, tambahkan telur, garam, penyedap rasa, santan dan air sedikit demi sedikit sampai mendapat kekentalan yang pas (tidak terlalu encer dan tidak terlalu kental)
4. panaskan minyak yg banyak di wajan anti lengket
5. ambil mangkok ukuran sedang, ambil adonan tepung, kacang tanah dan daun jeruk secukupnya lalu ambil campuran adonan peyek menggunakan sendok sayur, tuang di bibir wajan melebar, lakukan hingga bibir wajan terisi semua oleh adonan peyek, siram2 dg minyak hingga lepas sendiri dan turun ke minyak, goreng hingga matang, tiriskan.
6. ulangi hingga adonan habis
7. setelah peyek dingin, simpan dalam toples agar awet renyah..","['hasil', 'gr', 'gr', 'tepung', 'beras', 'gr', 'tepung', 'tapioka', 'gr', 'kacang', 'tanah', 'daun', 'jeruk', 'butir', 'telur', 'sdm', 'ketumbar', 'butir', 'bawang', 'putih', 'butir', 'kemiri', 'kencur', 'kunyit', 'bks', 'santan', 'instan', 'sdt', 'garam', 'sedap', 'air', 'minyak', 'goreng']"
352,rempeyek kacang uci,4,497,17,27.6,50.8,2.4,3.4,166,89,6.7,0,0,0,0,0,0,0.0,0.05,0,0,0,100,"kacang, biji, bean",olahan,,"hasil: 10 porsi
6 sdm tepung beras
3 sdm maizena at tapioka
2 sdm tepung trigu
3 sdm ebi at udang germut
500 ltr minyak gor
100 cc santan
6 sdm kacang tolo
7 lmr daun jerput
bumbu halus ;
4 siung bawang putih
4 lmr daun jerput
4 btr kemiri
1 btr telur
1 sdm ketumbar bubuk
1 sdt kunyit bubuk","1. siapkan bahn2 : kacang tolo yg sudh d rendam semlm n cuci bersih dn tiriskn, potong2 daun jerput lalu sisihkn
2. blender bumbu bersma telur sishkn, campur smua tepung lalu maskn bumbu halus aduk bersma santan tuang santn sedikt2 sampai adonn rata, lalu masukn daun jerput, ebi yg sudh d cuci aduk rata,, panaskn penggoreng biarkn pans lalu masuk n adonn satu cetong beri kacang tolo secukpnya goreng peyek sampai matang
3. setelah peyek matang angkat dan sajikan, slamt menikmati dn mencoba","['hasil', 'porsi', 'sdm', 'tepung', 'beras', 'sdm', 'maizena', 'tapioka', 'sdm', 'tepung', 'trigu', 'sdm', 'ebi', 'udang', 'germut', 'ltr', 'minyak', 'gor', 'santan', 'sdm', 'kacang', 'tolo', 'lmr', 'daun', 'jerput', 'bumbu', 'halus', 'siung', 'bawang', 'putih', 'lmr', 'daun', 'jerput', 'btr', 'kemiri', 'btr', 'telur', 'sdm', 'ketumbar', 'bubuk', 'sdt', 'kunyit', 'bubuk']"
353,sayur lebui,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1.0,124,146.0,0.20,0.7,0,14,0,0,0.00,0.1,0,100,"kacang, biji, bean",olahan,123,,,[]
354,"saridele, bubuk",3,344,30,20.0,43,6.2,4.0,450,500,4.0,56,2572.3,2.99,4.0,0,0,2000.0,0.70,0.16,2.0,10,100,"kacang, biji, bean",olahan,,"hasil: 9 porsi
500 gr biji undis
1 tomat besar
5 sdm terasi lombok.. kalau ada
1 sdm asam jawa
25 butir bawang merah
2 ikat kemangi
vetsin.. garam..gula..sck","1. rebus air dalam panci sampai mendidih
2. cuci bersih undis..lalu masukkan k dalam panci..
3. rebus sampai empuk dgn api sedang..
4. iris tipis bawang merah
5. potong potong tomat
6. kemangi ambil daunnya
7. cuci bersih semua
8. tumis bawang merah..terasi..asam.. sampai harumdan layu.
9. masukkan k dalm rebusan undis yg sudah empuk..
10. tambah kan tomat..
11. masukkan vetsin gula garam
12. cek rasa
13. terakhir masukkan kemangi
14. siap disajikan","['hasil', 'porsi', 'gr', 'biji', 'undis', 'tomat', 'sdm', 'terasi', 'lombok', 'sdm', 'asam', 'jawa', 'butir', 'bawang', 'merah', 'ikat', 'kemangi', 'vetsin', 'garamgulasck']"
355,susu kedelai,87,41,3.5,2.5,5,0.2,2.0,50,45,0.7,128,287.9,0.12,1.0,0,0,200.0,0.08,0.05,0.7,2,100,"kacang, biji, bean",olahan,,,,[]
356,"tahu, mentah",82.2,80,10.9,4.7,0.8,0.1,1.4,223,183,3.4,2,50.6,0.19,0.8,0,118,0,0.01,0.08,0.1,0,100,"kacang, biji, bean",olahan,,,,[]
357,tahu goreng,77.3,115,9.7,8.5,2.5,0.1,2.0,229,200,4.1,7,68.2,0.09,1.3,0,0,0.0,0.01,0.24,0.0,0,100,"kacang, biji, bean",olahan,,,,[]
358,tahu telur,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,0,0,0,73,0,1860.0,0.42,0,0,0,100,"kacang, biji, bean",olahan,124,,,[]
359,takwa,72.2,148,13.8,8.5,4,0.0,1.6,140,214,8.5,3,79.0,0.30,1.3,0,0,920.0,0.20,0.10,0.8,0,100,"kacang, biji, bean",olahan,,"hasil: 3 porsi
250 g tahu putih, potong dadu dan goreng hingga berkulit
3 butir telur ayam
1 sdt royco kaldu ayam
½ sdt merica putih bubuk
75 g kol, iris tipis
50 g taoge, blansir
300 ml minyak, untuk menggoreng

bahan saus kecap
5 buah cabai rawit merah
3 siung bawang putih
2 sdm kacang tanah goreng, buang kulit
100 ml air hangat
1 sdt air jeruk nipis
150 ml bango kecap manis

bahan pelengkap
1 sdm bawang merah goreng
1 batang seledri, iris tipis","1. kocok telur bersama royco kaldu ayam dan merica hingga rata.
2. masukkan potongan tahu, aduk kembali.
3. panaskan minyak dalam wajan anti lengket. masak tahu telur hingga kecokelatan. angkat dan sisihkan.
4. saus kecap: goreng cabai rawit merah dan bawang putih hingga kecokelatan. angkat. ulek bersama kacang tanah hingga halus.
5. tuang air, air jeruk nipis dan bango kecap manis. aduk rata.
6. letakkan telur dalam piring saji. tambahkan kol dan taoge, lalu siram dengan saus kecap. sajikan.","['hasil', 'porsi', 'putih', 'potong', 'dadu', 'goreng', 'kulit', 'butir', 'telur', 'ayam', 'sdt', 'royco', 'kaldu', 'ayam', 'sdt', 'merica', 'putih', 'bubuk', 'kol', 'iris', 'tipis', 'taoge', 'blansir', 'ml', 'minyak', 'goreng', 'bahan', 'saus', 'kecap', 'buah', 'cabai', 'rawit', 'merah', 'siung', 'bawang', 'putih', 'sdm', 'kacang', 'tanah', 'goreng', 'buang', 'kulit', 'ml', 'air', 'hangat', 'sdt', 'air', 'jeruk', 'nipis', 'ml', 'bango', 'kecap', 'manis', 'bahan', 'lengkap', 'sdm', 'bawang', 'merah', 'goreng', 'batang', 'seledri', 'iris', 'tipis']"
360,tauco,54,184,11.4,5.5,22.2,1.9,6.9,72,463,6.0,1766,233.0,0.39,1.0,0,0,664.0,0.32,0.20,0.8,0,100,"kacang, biji, bean",olahan,,,,[]
361,"tauco cap beruang,
cake",11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,0,0,0,0,0,0,936.0,0.35,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
362,"tauco cap das, cake",10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,0,0,0,0,0,0,504.0,0.29,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
363,tauco cap meong,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,1547,204.1,0.34,0.9,0,0,472.0,0.46,0.18,0.7,0,100,"kacang, biji, bean",olahan,,,,[]
364,tauji cap singa,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3.0,0,0,0,0,0,0,936.0,0.15,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
365,tempe bongkrek,72.5,119,4.4,3.5,18.3,0,"146
.3",27,100,2.6,0,0,0,0,0,0,0,0.08,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
366,tempe gembus p3g,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,0,0,0,0,0,0,22.0,0.09,0.10,0.9,0,100,"kacang, biji, bean",olahan,,,,[]
367,tempe gembus yogya,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,0,0,0,0,0,0,0,0.79,0.01,0.1,0,100,"kacang, biji, bean",olahan,,,,[]
368,tempe kacang babi,64,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,0,0,0,0,0,0,20.0,0.10,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
369,"tempe kacang
belimbing",58.2,212,17.5,10.0,12.9,2.9,1.4,186,160,2.2,0,0,0,0,0,0,0,0.20,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
370,"tempe kedelai +
jagung",70.6,143,12,5.5,11.4,1.9,0.6,155,156,6.8,0,0,0,0,0,0,1320.0,0.33,0.15,1.2,0,100,"kacang, biji, bean",olahan,,,,[]
371,"tempe kedelai murni,
goreng",36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22,626.7,0.80,2.5,0,0,78.0,0.24,0.60,3.3,0,100,"kacang, biji, bean",olahan,,,,[]
372,"tempe kedelai murni,
mentah",55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4.0,9,234.0,0.57,1.7,0,0,0,0.19,0.59,4.9,0,100,"kacang, biji, bean",olahan,,,,[]
373,tempe koro benguk,64,141,10.2,1.3,23.2,0,1.3,42,15,2.6,0,0,0,0,0,0,0,0.09,0,0,0,100,"kacang, biji, bean",olahan,,,,[]
374,tempe lamtoro,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,0,0,0,0,0,0,121.0,0.17,0,0,2,100,"kacang, biji, bean",olahan,,,,[]
375,"tempe lamtoro var,
gung dengan kulit",65.1,146,11.7,2.3,19.6,7.6,1.3,128,41,6.8,0,0,0,0,0,0,1370.0,0.19,0,1.4,0,100,"kacang, biji, bean",olahan,,,,[]
376,"tempe lamtoro var,
gung tanpa kulit",67.1,131,18,0.8,13,1.3,1.1,95,154,12.4,0,0,0,0,0,0,5900.0,0.20,0.02,2.6,0,100,"kacang, biji, bean",olahan,,,,[]
377,tempe pasar,68.3,150,14,7.7,9.1,1.4,0.9,517,202,1.5,7,165.9,0.40,1.2,0,0,0,0.17,0.44,3.6,0,100,"kacang, biji, bean",olahan,,,,[]
378,tempe pasar goreng,42.9,336,20,28.0,7.8,3.4,1.3,156,350,3.0,20,566.2,0.80,2.2,0,0,10.0,0.10,0.50,3.0,0,100,"kacang, biji, bean",olahan,,,,[]
379,"tepung hunkwe (pati
kacang ijo)",10,364,4.5,1.0,83.5,16.1,1.0,50,100,1.0,15,1232.9,0.93,2.7,0,0,0,0.00,0.23,2.2,0,100,"kacang, biji, bean",olahan,,,,[]
380,tepung jalejo,10,388,19,7.5,61.2,5.8,2.3,101,663,2.0,3,712.0,0.60,1.9,0,"100
0",0,0.02,0.70,1.6,9,100,"kacang, biji, bean",olahan,,,,[]
381,tepung kacang kedelai,9,347,35.9,20.6,29.9,5.8,4.0,195,544,8.4,52,2522.6,"4303.
45",2.6,0,0,140.0,0.77,0.32,2.1,0,100,"kacang, biji, bean",olahan,,,,[]
382,"akar tonjong, segar",86.7,45,1.1,0.4,10.8,1.2,1.0,72,125,1.3,96,1147.1,0.02,0.2,0,83,90,0.02,0.03,1.9,2,100,sayuran,tunggal,,,,[]
383,"ale,toge, segar",90.6,37,4.4,0.5,3.8,1.7,0.7,50,248,2.0,2,105.0,0.16,0.4,0,0,35,0.02,0.09,0.6,46,90,sayuran,tunggal,,,,[]
384,"andaliman, segar",74.2,99,4.6,1.0,18,8.5,2.2,383,107,2.9,0,0,0,0,0,0,6300,3.00,0,0,15,100,sayuran,tunggal,,,,[]
385,"andewi, segar",91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1.0,29,414.6,0.13,1.0,0,1717,0,0.14,0.09,0.5,10,80,sayuran,tunggal,,,,[]
386,"bakung, segar",92.5,27,2,0.2,4.2,3.8,1.1,19,20,0.5,37,340.0,0.20,0.3,0,1080,0,0.20,0.10,0.3,42,100,sayuran,tunggal,,,,[]
387,"baligo, segar",96.1,15,0.4,0.2,3,0.4,0.3,19,19,0.4,2,131.1,0.02,0.6,0,0,0,0.04,0.02,0.3,13,69,sayuran,tunggal,,,,[]
388,"bawang bombay,
segar",87.5,43,1.4,0.2,10.3,2.0,0.6,32,44,0.5,12,9.6,0.10,0.3,0,788,50,0.03,0.21,0.4,9,94,sayuran,tunggal,,,,[]
389,"bayam, segar",94.5,16,0.9,0.4,2.9,0.7,1.3,166,76,3.5,16,456.4,0.13,0.4,0,2699,2293,0.04,0.10,1.0,41,71,sayuran,tunggal,,,,[]
390,"bayam merah, segar",88.5,41,2.2,0.8,6.3,2.2,2.2,520,80,7.0,20,60.0,0.20,0.8,0,7325,0,0.20,0.10,0.1,62,71,sayuran,tunggal,,,,[]
391,"bit, segar",87.6,41,1.6,0.1,9.6,2.6,1.1,27,43,1.0,29,404.9,0.20,0.7,0,0,20,0.02,0.05,0.3,10,75,sayuran,tunggal,,,,[]
392,buah kelor,89.5,38,1.5,0.2,7.5,3.2,1.3,30,54,0.0,48,216.0,0.00,0.2,0,31,0,0.10,0.10,4.1,25,65,sayuran,tunggal,,,,[]
393,buah merah,81.2,87,2.6,2.7,13.1,4.0,0.4,30,1,1.1,110,140.0,0.10,0.3,0,0,0,1.50,0.10,0.2,15,100,sayuran,tunggal,,,,[]
394,"buncis, segar",89.6,34,2.4,0.3,7.2,1.9,0.5,101,42,0.7,8,250.0,0.07,0.3,0,772,550,0.05,0.40,2.8,11,90,sayuran,tunggal,,,,[]
395,"bunga pepaya, segar",87.3,45,2.6,0.3,8.1,1.6,1.7,290,113,4.2,2,478.3,0.08,0.8,0,2792,5,0.01,0.28,1.0,23,100,sayuran,tunggal,,,,[]
396,"bunga turi, segar",90.4,42,2,1.1,6.1,3.3,0.4,28,23,0.8,29,97.4,0.10,0.6,0,1200,0,0.50,0.02,0.4,1,96.1,sayuran,tunggal,,,,[]
397,"caisin, segar",93.6,20,1.7,0.4,3.4,1.2,0.9,123,40,1.9,18,358.2,0.05,1.4,0,1675,4188,0.04,0.19,0.6,3,100,sayuran,tunggal,,,,[]
